Name,School,PA,OBP,wOBA,ISO,BB%,K%,BABIP,wRC+,HR/PA,OnBase_Ability,Power,OP,OPAR
"Swinney, Mason",Alabama,77,0.408,0.331,0.054,0.2078,0.2857,0.361,91.95,0.0,0.363455684870188,0.04496824276640791,0.046669152864942824,-0.011507265186484109
"Hamiter, William",Alabama,99,0.384,0.376,0.193,0.1111,0.202,0.349,103.75,0.0202020202,0.36851969561324976,0.16409871474057872,0.05814504775462152,-3.1370296805409426e-05
"Eblin, Bryce",Alabama,163,0.327,0.342,0.182,0.0429,0.135,0.281,94.65,0.03680981595,0.31580259623992846,0.15771625009184898,0.0506762297017791,-0.007500188349647829
"Snell, Kade",Alabama,167,0.389,0.392,0.183,0.0898,0.1078,0.333,108.0,0.03592814371,0.36989659803043873,0.15840153144620325,0.058313447112448895,0.0001370290610219621
"Guscette, Mac",Alabama,195,0.418,0.384,0.121,0.0513,0.0974,0.336,105.75,0.02051282051,0.37626141450313344,0.10419304055107269,0.052406863266251574,-0.005769554785175358
"Sleight, Evan",Alabama,196,0.354,0.354,0.184,0.0918,0.2449,0.339,97.95,0.0306122449,0.34859489704565805,0.15834516728390968,0.05428203774369538,-0.0038943803077315514
"Hodo, Will",Alabama,244,0.393,0.389,0.227,0.1393,0.1967,0.291,106.97,0.04508196721,0.3548111011638317,0.19657334243385324,0.06088360252909992,0.002707184477672986
"Lebron, Justin",Alabama,254,0.429,0.426,0.208,0.0787,0.2087,0.399,116.78,0.04724409449,0.4171141450313339,0.1811128090290261,0.06429588679158531,0.006119468740158375
"Mccants, Tj",Alabama,265,0.374,0.411,0.277,0.083,0.2453,0.361,112.87,0.05660377358,0.3825819158460161,0.24013768125508825,0.06634852712355133,0.008172109072124394
"Petrutz, Ian",Alabama,267,0.447,0.413,0.158,0.1124,0.0974,0.342,113.32,0.02247191011,0.39697358997314236,0.13533228136631617,0.059615596494377594,0.0014391784429506616
"Miller, Gage",Alabama,268,0.474,0.498,0.321,0.1007,0.0896,0.357,135.73,0.0671641791,0.44044538943598927,0.2785447497859563,0.07919143801261842,0.02101501996119149
"Rogers, Brandon",Arizona,78,0.284,0.245,0.046,0.0897,0.3846,0.324,69.36,0.01282051282,0.28443017009847804,0.040450572715836276,0.03303808775470411,-0.02513833029672282
"Cain, Andrew",Arizona,112,0.357,0.383,0.23,0.0982,0.3036,0.387,105.42,0.04464285714,0.3771324977618622,0.19899813489215246,0.06110919260443926,0.0029327745530123295
"Mcdonald, Blake",Arizona,113,0.404,0.369,0.121,0.115,0.0973,0.316,101.74,0.01769911504,0.3597408236347359,0.1037224349078899,0.052283815856931655,-0.005892602194495278
"Guzman, Adonys",Arizona,164,0.384,0.328,0.059,0.1585,0.1159,0.299,91.04,0.006097560976,0.33329230080572964,0.050151815067968945,0.044711540029099044,-0.013464878022327889
